[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown block 'sophisticatedstorage:storage_link' in civil:civil_blocks/compat_sophisticatedstorage.json, skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown block 'sophisticatedstorage:copper_barrel' in civil:civil_blocks/compat_sophisticatedstorage.json, skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown block 'sophisticatedstorage:iron_barrel' in civil:civil_blocks/compat_sophisticatedstorage.json, skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown block 'sophisticatedstorage:gold_barrel' in civil:civil_blocks/compat_sophisticatedstorage.json, skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown block 'sophisticatedstorage:diamond_barrel' in civil:civil_blocks/compat_sophisticatedstorage.json, skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown block 'sophisticatedstorage:netherite_barrel' in civil:civil_blocks/compat_sophisticatedstorage.json, skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown block 'sophisticatedstorage:chest' in civil:civil_blocks/compat_sophisticatedstorage.json, skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown block 'sophisticatedstorage:copper_chest' in civil:civil_blocks/compat_sophisticatedstorage.json, skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown block 'sophisticatedstorage:iron_chest' in civil:civil_blocks/compat_sophisticatedstorage.json, skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown block 'sophisticatedstorage:gold_chest' in civil:civil_blocks/compat_sophisticatedstorage.json, skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown block 'sophisticatedstorage:diamond_chest' in civil:civil_blocks/compat_sophisticatedstorage.json, skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown block 'sophisticatedstorage:netherite_chest' in civil:civil_blocks/compat_sophisticatedstorage.json, skipping
[19:47:14] [Server thread/INFO] [civil-registry/]: [civil-registry] Loaded 211 block weight(s) from datapack
[19:47:14] [Server thread/INFO] [civil-registry/]: [civil-registry] Loaded 5 head type(s) from datapack
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'incendium:abandoned_tower' in civil:civil_zone_policies/incendium.json (rule=incendium_all), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'incendium:forbidden_castle' in civil:civil_zone_policies/incendium.json (rule=incendium_all), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'incendium:infernal_altar' in civil:civil_zone_policies/incendium.json (rule=incendium_all), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'incendium:nether_reactor' in civil:civil_zone_policies/incendium.json (rule=incendium_all), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'incendium:piglin_village' in civil:civil_zone_policies/incendium.json (rule=incendium_all), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'incendium:pipeline' in civil:civil_zone_policies/incendium.json (rule=incendium_all), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'incendium:quartz_kitchen' in civil:civil_zone_policies/incendium.json (rule=incendium_all), skipping
